,address,city,country,description,distanceFromCenter,field1,field8,friendlyUrl,id,lat,long,name,postalCode,province
10,"606 Cathcart Street, Suite 1000",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'people of all ages searching for information on the rules or norms concerning alcohol and the consequence of their consumption', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 17h30', 'WebsiteAddress': 'www.educalcool.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@educalcool.qc.ca', 'FeeStructureSource': 'free', 'MetaDescription': ""EDUC'ALCOOL : Grouping ofÂ\xa0parapublic institutions, alcoholic beverage industry associations and individuals from various sectors (public health, education, journalism). Implements prevention, education and information programs designed to help young peopl"", 'ApplicationProcess': 'by phone or by email', 'Phone1Number': '1 888 252-6651'}}",0.18206484660990202,18763613,RX-8250.0500,educalcool-18763613,1735720,45.50277,-73.56901,educ'alcool,H3B 1K9,QC
11,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC - ECONOMIC AFFAIRS SECTION : Last instance services to protest against the decision of a ministry, a public organization or a municipality. Rules on the protestations regarding permits or authorizations provided by economi', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,38358074,DD-1500.4150-450; DD-1500.4150-600; TD-0400.6000,tribunal-administratif-du-quebec-economic-affairs-section-38358074,1733418,45.50317,-73.56579,tribunal administratif du qu\xE9bec - economic affairs section,H2Z 1W7,QC
12,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'people living with mental health issues who received a verdict of unfit to stand trial, or a verdict of not criminally responsible on account of mental disorder from a criminal court', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC - MENTAL HEALTH DIVISION : Social affairs section sub-division. Determines if an individual coping with mental health issues and facing a criminal charge represents a significant threat for public safety.Decides on the mea', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,18766567,TD-0400.6000; RP-5000.6400 * YZ-5000; FT-1500,tribunal-administratif-du-quebec-mental-health-division-18766567,1733416,45.50317,-73.56579,tribunal administratif du qu\xE9bec - mental health division,H2Z 1W7,QC
13,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC - IMMOVABLE PROPERTY SECTION : Last instance services to protest against the decision of a ministry, a public organization or a municipality. Rules on the protestations regarding expropriation, municipal fiscality andÂ\xa0urba', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,18766568,DD-1500.4150-450; DD-1500.4150-600; TD-0400.6000,tribunal-administratif-du-quebec-immovable-property-section-18766568,1733417,45.50317,-73.56579,tribunal administratif du qu\xE9bec - immovable property section,H2Z 1W7,QC
14,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC (THE) : Last instance services to protest against the decision of a ministry, a public organization or a municipality. Social Affairs Section.Immovable Property Section.Territory and Environment Section.Economic Affairs Se', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,18761314,DD-1500.4150-450; DD-1500.4150-600; TD-0400.6000,tribunal-administratif-du-quebec-the-18761314,1733421,45.50317,-73.56579,tribunal administratif du qu\xE9bec (the),H2Z 1W7,QC
15,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC - TERRITORY AND ENVIRONMENT SECTION : Last instance services to protest against the decision of a ministry, a public organization or a municipality. Rules on protestations regarding territory protection, agricultural activ', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,38358072,DD-1500.4150-450; DD-1500.4150-600; TD-0400.6000,tribunal-administratif-du-quebec-territory-and-environment-section-38358072,1733420,45.50317,-73.56579,tribunal administratif du qu\xE9bec - territory and environment section,H2Z 1W7,QC
16,"500 Ren\xE9-L\xE9vesque Boulevard West, 21st Floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.taq.gouv.qc.ca/en', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'tribunal.administratif@taq.gouv.qc.ca', 'FeeStructureSource': '', 'MetaDescription': 'TRIBUNAL ADMINISTRATIF DU QU\\xC9BEC - SOCIAL AFFAIRS SECTION : Last instance services to protest against the decision of a ministry, a public organization or a municipality. Rules on protestationsÂ\xa0regarding social security or revenue, compensations plans, pe', 'ApplicationProcess': '', 'Phone1Number': '514 873-7154'}}",0.200472140040961,18766566,DD-1500.4150-450; DD-1500.4150-600; TD-0400.6000,tribunal-administratif-du-quebec-social-affairs-section-18766566,1733419,45.50317,-73.56579,tribunal administratif du qu\xE9bec - social affairs section,H2Z 1W7,QC
17,"1255 Robert-Bourassa Boulevard, Suite 217",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'optometrists and optometry students', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': '', 'WebsiteAddress': 'www.aoqnet.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'aoq@aoqnet.qc.ca', 'FeeStructureSource': 'annual membership fees', 'MetaDescription': ""ASSOCIATION DES OPTOM\\xC9TRISTES DU QU\\xC9BEC : Professional association. Representation and advocacy of economical, professional, political and social interests of members.Online directory of Qu\\xE9bec's optometrists:"", 'ApplicationProcess': '', 'Phone1Number': '1 888 767-6786'}}",0.211280472665609,18762675,TN-5000.1950; LH-2600.2000-650,association-des-optometristes-du-quebec-18762675,1736089,45.50302,-73.56919,association des optom\xE9tristes du qu\xE9bec,H3B 3B2,QC
18,1010 De La Gaucheti\xE8re Street West,Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Ville-Marie', 'Eligibility': 'homeless people', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': '7 days, breakfast: 8h00 to 11h00, cold lunch: 11h00 to 13h00', 'WebsiteAddress': '', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': '', 'FeeStructureSource': '', 'MetaDescription': 'COVID-19 - OUTDOOR DAY CENTRE - PLACE DU CANADA : Outdoor day centre for homeless people. Food distribution.Chemical toilets.Hand washing stations.Social workers on site.', 'ApplicationProcess': '', 'Phone1Number': ''}}",0.270101759188266,67437857,BD-5000.8300; BH-1800.3500; BM-6500.6500-700; PH-8000,covid-19-outdoor-day-centre-place-du-canada-67437857,1738485,45.50252,-73.564,covid-19 - outdoor day centre - place du canada,H3B 2N2,QC
19,503 Ren\xE9-L\xE9vesque Boulevard West,Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'people wanting to create or develop their own business', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.eequebec.com', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': 'https://www.youtube.com/embed/58fhYr4lBMU', 'EmailAddressMain': 'info@eequebec.com', 'FeeStructureSource': 'variable', 'MetaDescription': '\\xC9COLE DES ENTREPRENEURS DU QU\\xC9BEC : Business start-up assistance. Entrepreneurial follow-up.Self-employment support program: technical and financial support for start-ups.Training on starting a business, sales and in business acquisition and management.Co', 'ApplicationProcess': 'register online or by phone', 'Phone1Number': '514 398-9083'}}",0.27344458907893904,18763056,TB-0900.8000-800; YH-6000.3100,ecole-des-entrepreneurs-du-quebec-18763056,1734595,45.50399,-73.56602,\xE9cole des entrepreneurs du qu\xE9bec,H2Z 1A8,QC
20,"2021 Union Avenue, Suite 1108",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'general public, certified translators, terminologists and interpreters', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 12h30 and 13h30 to 16h30, Friday 8h30 to 12h30 and 13h30 to 16h00', 'WebsiteAddress': 'www.ottiaq.org', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@ottiaq.org', 'FeeStructureSource': '', 'MetaDescription': ""ORDRE DES TRADUCTEURS, TERMINOLOGUES ET INTERPR\\xC8TES AGR\\xC9\\xC9S DU QU\\xC9BEC : Professional order. Public protection through the control of the issue ofÂ\xa0practice permits.Members' competence and professionalism promotion.Members directory:Â\xa0"", 'ApplicationProcess': '', 'Phone1Number': '1 800 265-4815'}}",0.278849352964869,18761061,TN-3400,ordre-des-traducteurs-terminologues-et-interpretes-agres-du-quebec-18761061,1734646,45.50378,-73.56923,"ordre des traducteurs, terminologues et interpr\xE8tes agr\xE9\xE9s du qu\xE9bec",H3A 2S9,QC
21,"460 Sainte-Catherine Street West, Suite 610",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': '', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 9h00 to 12h00 and 13h00 to 17h00', 'WebsiteAddress': 'www.crarr.org', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'crarr@primus.ca', 'FeeStructureSource': 'according to financial capacity', 'MetaDescription': 'CENTRE FOR RESEARCH-ACTION ON RACE RELATIONS : Promotion of equality and fight against racism. Assistance and representation of victims of discrimination.Seminars, public interventions, education.Mobilization.Action-oriented research, training and develop', 'ApplicationProcess': 'by email', 'Phone1Number': '514 939-3342'}}",0.29052598100402405,18763391,TD-1600.3100-850; FN-1500.2550 * YZ-1650; FT-1800.1850,centre-for-research-action-on-race-relations-18763391,1732980,45.50198,-73.57096,centre for research-action on race relations,H3B 1A7,QC
22,"50 Sainte-Catherine Street West, Suite 340",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': 'citizens, organizations, governments', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 9h00 to 12h00 and 13h00 to 17h00', 'WebsiteAddress': 'www.equiterre.org', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@equiterre.org', 'FeeStructureSource': 'variable', 'MetaDescription': '\\xC9QUITERRE : Awareness, education and tips.Pairing of consumers with organic farms.Referrals for the purchase of fair trade products.Conferences.', 'ApplicationProcess': 'by phone or email', 'Phone1Number': '1 877 272-6656'}}",0.29052598100402405,18762961,TD-1600.1800; BD-2600.0500; YH-6000.3100; BD-2400.2250,equiterre-18762961,1739096,45.50198,-73.57096,\xE9quiterre,H2X 3V4,QC
23,"460 Saint-Catherine Street West, Suite 412",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'adults, families and youth, victims and offenders', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 9h00 to 17h00', 'WebsiteAddress': 'equijustice.ca/fr', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'info@equijustice.ca', 'FeeStructureSource': '', 'MetaDescription': '\\xC9QUIJUSTICE : Promotion of fair and accessible justice. Restorative justice, criminal mediation and citizen mediation services.Mediation trainings.CyberbullyingÂ\xa0information kit.Online member directory:', 'ApplicationProcess': '', 'Phone1Number': '1 877 204-0250'}}",0.36410745886482104,18763095,FN-1500.1000; FN-1500.2150; TD-1600.1530; FN-1900.9000; FT-5970,equijustice-18763095,1734704,45.50495,-73.56767,\xE9quijustice,H3B 1A6,QC
24,"800 Square Victoria Street, 22th floor",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'product consumers, service users, future professionals and money service businesses', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 17h00', 'WebsiteAddress': 'www.lautorite.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': '', 'FeeStructureSource': '', 'MetaDescription': ""AUTORIT\\xC9 DES MARCH\\xC9S FINANCIERS : Organization mandated by the government of Qu\\xE9bec to regulate the province's financial markets and provide assistance to consumers of financial products and services. Insurance information.Reception and treatment of compl"", 'ApplicationProcess': '', 'Phone1Number': '1 877 525-0337'}}",0.379444922654181,18763475,DD-2100; FN-1500.2050; DD-1500.0750; DD-1500.4800,autorite-des-marches-financiers-18763475,1735304,45.50145,-73.5624,autorit\xE9 des march\xE9s financiers,H4Z 1G3,QC
25,"1981 McGill College Avenue, Suite 620",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Province of Qu\\xE9bec', 'Eligibility': 'car insurance companies, consumers', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.gaa.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'cinfo@gaa.qc.ca', 'FeeStructureSource': 'free', 'MetaDescription': 'GROUPEMENT DES ASSUREURS AUTOMOBILES : Information on car insurance. Access to the automobile accident central registry.Distribution of joint reports.', 'ApplicationProcess': '', 'Phone1Number': '1 877 288-4321'}}",0.398128494781443,56192107,DF-7000.0700,groupement-des-assureurs-automobiles-56192107,1733385,45.50244,-73.57225,groupement des assureurs automobiles,H3A 2Y1,QC
26,"1981 McGill College Avenue, Suite 620",Ville-Marie,Canada,"{'AllFields': {'CoverageArea': 'Canada', 'Eligibility': 'property and casualty insurance companies, consumers', 'Phone1IsPrivate': False, 'PhysicalAddressIsPrivate': 'No', 'HoursOfOperation': 'Monday to Friday 8h30 to 16h30', 'WebsiteAddress': 'www.bac-quebec.qc.ca', 'PhysicalCounty': 'Montr\\xE9al', 'VideoUrl': '', 'EmailAddressMain': 'cinfo@bac-quebec.qc.ca', 'FeeStructureSource': 'free', 'MetaDescription': 'INSURANCE BUREAU OF CANADA : Association representing the majority of property and casualty insurers (home, commercial, automobile and liability). Participation in the preparation of draft laws.Education, prevention, awareness.Public information.', 'ApplicationProcess': '', 'Phone1Number': '514 288-4321'}}",0.398128494781443,18763813,TP-2100.6000-120; BH-3300 * YX-1800.2100; DF-7000.0700; TN-1000.8500; BH-3300,insurance-bureau-of-canada-18763813,1734542,45.50244,-73.57225,insurance bureau of canada,H3A 2Y1,QC
